tweet,stated_sentiment,blob_NB_classification,blob_NB_p_pos,blob_NB_p_neg
CVEO Extremely bearish one,Bearish,pos,0.8439145780871797,0.1560854219128202
FB The Gordon Ghetto Show Rolls Card Stay tuned Gordon Gekko Bounce Instagram M plus Oculus China Exp,Bullish,neg,0.02786702384779104,0.9721329761522121
CUR BCLI looking like juicy buy going Monday,Bullish,neg,0.27861048279623946,0.7213895172037598
UGAZ httpstkscodRC,Bullish,pos,0.5,0.5
TWTR Happy New Years all,Bullish,pos,0.6644916336014505,0.3355083663985496
VSLR This company growing fast Jumped ENPH gobbled baby Sit buy dips yah know it,Bullish,neg,0.26900945693115813,0.7309905430688409
Its time year Top Picks WEFca PHMca amp DAPuca,Bullish,pos,0.5328847459356459,0.4671152540643536
FB ER beat good guidance earnings beat bad guidance,Bullish,neg,0.41268329226415124,0.5873167077358482
GPRE Anyone catch K Mar C block trade M value,Bullish,pos,0.5132109084826424,0.48678909151735894
Top picks pretty good last year WEFca CPHca amp AYAca Lets hope years batch well,Bullish,pos,0.6932159612190498,0.30678403878095056
UGAZ Reversal isnt even close yet Ill let know,Bearish,neg,0.364372094781526,0.6356279052184749
WHZ Hoping stays low I put IRA come,Bullish,neg,0.2470011940726268,0.7529988059273731
CNBC Top trades FastMoney TIF AAPL TGT TWTR BIDU WYNN IBM EOG APC httpstkscoaR httpstkscojVy,Bullish,neg,0.06375331063185771,0.936246689368143
FB Inflection point breached Still uptrend We Ghetto Trade show Stay tuned Gekko Trade show mil sell,Bullish,neg,0.43112302220502685,0.568876977794972
UGAZ If think going week idiot,Bearish,neg,0.19192202629003222,0.808077973709968
UGAZ Still longs way go reversal,Bearish,pos,0.6490374215877142,0.3509625784122866
FB million volume today heavy selling held level Gekko Trade show going Bounce next week,Bullish,neg,0.07261332915579295,0.9273866708442073
AAPL ARWR TSLA BABA Wish everyone happy new year keep counting fast money,Bullish,neg,0.43513929680831487,0.5648607031916847
PAL Have A Happy Healthy Wealthy Green New Year including TAR,Bullish,pos,0.7791790788440793,0.22082092115591898
Dear STWIT Dream big See real Stick Finding next httpstkscobRu Happy,Bullish,pos,0.7083714912086234,0.29162850879137675
UGAZ Should open ,Bearish,neg,0.4643355559001395,0.5356644440998602
AAPL Met hedge fund manager DC today playing ball said AAPL favorite opportunity He liked options play,Bullish,pos,0.6957933758348186,0.304206624165183
FB Inside days happen retraction happens sadly bears oversold hand bears gun Watch hard boun,Bullish,neg,0.3029369007956927,0.6970630992043065
GLUU Can ever bad market day Everyone doesnt need freak goes day lot stocks,Bullish,pos,0.8527016711234983,0.14729832887650124
GRPN Happy trails Im good sides fence THAT investortrader fence,Bullish,pos,0.8662279424228516,0.1337720575771491
FB Instagram million growing Expansion China NFL AD Rev FB Search So what REVENUE Generation thats,Bullish,pos,0.9902985914201434,0.00970140857985421
Top searched stocks AAPL FB BABA TSLA BAC GOOG INTC GE TWTR AMZN httpstkscobRy httpstkscocRAV,Bullish,neg,0.2704654895666135,0.7295345104333869
SPY DIA COMPQ best luck traders,Bullish,pos,0.8230721603062036,0.176927839693797
UWTI In Gas Station Spring drink water G gasoline G,Bullish,pos,0.6120399177832925,0.38796008221670564
stephanjk The USDX UUP price targets Youre spewing typical gold bug nonsense httpstkscoeRGD,Bullish,neg,0.24375292948401878,0.7562470705159806
ZNGA BCLI release phase Monday Jan It blow ya face upside potential one day,Bullish,neg,0.10306116199986864,0.8969388380001307
SPY IWM QQQ New Years resolution follow Winners STshad decent yearbut could much betterHappy NY,Bullish,pos,0.8141533380758041,0.18584666192419522
UVXY Buy puts,Bearish,pos,0.6752664298401423,0.3247335701598579
quotWallStJesus IWM btw snuck bell looks like buyer Feb puts quotThey burned k,Bullish,neg,0.04030134547800004,0.9596986545220001
article July quot AirWatch recently teamed Sonyquot httpstkscojV I bet wish would chosen bbry,Bullish,pos,0.6494537874337004,0.350546212566298
IBIO amp MNGA close penny other What going on,Bullish,neg,0.2636359300109227,0.7363640699890778
VIPS Property overhanging In China benefit money flow stocks according David fast money,Bullish,pos,0.9399903520809699,0.06000964791903038
WarEagleStox War Eagle Youd think us Auburn engineers would smarter invest crappy stocks like NQ,Bullish,neg,0.046723321896511745,0.9532766781034864
Take BULL horns let RIDE Happy New Year TimesSquare SBUX PCLN SPY httpstkscotDpy httpstkscotDpz,Bullish,neg,0.4523874502457943,0.5476125497542078
AAPL happy new year fellow longs January make us happy And February plain silly Cheers folks,Bullish,pos,0.8085638207228057,0.19143617927719428
Swing Buy Picks AMAT CME ELX KMX LNKD NOC ORCL PAY PNC POTCA RMD httpstkscojVD,Bullish,neg,0.24172293901739894,0.758277060982601
Swing Sell Picks FMCA PCA REN httpstkscogVZ,Bearish,neg,0.18844221105527634,0.8115577889447229
WFM holding Jan putsOI around k,Bearish,pos,0.5540101907421718,0.44598980925782844
THM Feel good picked couple thousand shares day,Bullish,pos,0.7798806854081423,0.22011931459185888
CVEO This going crash Friday,Bearish,neg,0.37679114056784513,0.6232088594321544
KNDI The reason KNDI big China Happy New Year httpstkscodRZ,Bullish,pos,0.599820524334517,0.4001794756654825
UGAZ Look lead storyhttpstkscoeRGL,Bullish,neg,0.47925236988016445,0.5207476301198357
ARWR INO IDRA One stocks gain least x Your bet Best luck happy new year everyone,Bullish,pos,0.8528536548235545,0.1471463451764476
StupidGains Hephaestus How think Jefferson marches likes born people clamor GLUU sale happen,Bullish,pos,0.9892467692164137,0.010753230783585527
USDJPY BEARISH NAT PATTERNQ httpstkscoeRGQ httpstkscobRAA,Bearish,pos,0.75,0.2499999999999997
AAPL So everyone ur money ready Friday BTFD LOAD UPPP,Bullish,neg,0.36644707929897574,0.6335529207010235
PLUG analyst ratings last days Median target upside View here httpstkscobRAB,Bullish,pos,0.9451116988173822,0.05488830118262031
quotEuphoria RSH headed home new robot trunk RadioShack quot Stay robot amp forget pain RSH rest life,Bearish,neg,0.33893303491314625,0.6610669650868558
Gbones Ur Great Trader amp solidify it UGAZ Timeframe powder flexible Well bank hard Bones,Bullish,neg,0.16952172612912328,0.8304782738708784
GCF GLD GDX GDXJ In opinion gold sitting long lower support A move imminent httpstkscofVBH,Bearish,pos,0.6609110124387527,0.3390889875612478
IBIO ANV LAKE APT Happy New Year May bring love peace joy enormous brokerage account,Bullish,pos,0.9906361648913536,0.009363835108643899
BBEP LF CVEO FSLR SAFM EW CAMP COH KORS AMBA AVAV PACB Happy investing happy new year lets welcome new year gains,Bullish,pos,0.9554203126079817,0.044579687392020124
IMRS httpstkscoeRGY \xe2\x80\xa6will give newbies information company\xe2\x80\xa6good interview CEOwatch u time,Bullish,pos,0.8854619802561495,0.11453801974385076
Prediction After yr s SBUX next stock following execution new initiatives Dont bet Schultz,Bullish,neg,0.10342320756340605,0.896576792436596
EGRX MGNX FMI SGEN ARRY want em,Bullish,neg,0.49109131403118045,0.5089086859688196
BBRY Team Canadann,Bullish,neg,0.4821428571428573,0.5178571428571428
AAPL Just dropped phone fire Damn still works screen little messed,Bullish,pos,0.7586781110496631,0.24132188895033763
SPX httpstkscogVg Wave cgt truncated th FAT CATS quotTIMEquot play next week httpstkscoqDhN,Bullish,neg,0.352617765430455,0.6473822345695458
Sliver SLV GLD GDX Do write sweet hype tweets notebook Theyre powerful,Bullish,neg,0.3621618875078397,0.63783811249216
SLV Sliver You bullish,Bullish,neg,0.24419387411645901,0.7558061258835412
Prediction quotPricing warsquotin biotech space doesnt prevent sector another great year IBB BIB GILD CELG REGN ISIS BIIB,Bullish,pos,0.8058524639720765,0.1941475360279222
Prediction Energy stocks oilampgas rebound leading sector upside oil back year end XLE BP SLB OXY,Bullish,neg,0.41819923327431646,0.5818007667256823
SLV GLD Sliver Thanks trade idea I bot March gold April silver calls,Bullish,neg,0.3014330636179962,0.698566936382002
SGOC nice buyout aiming gap Friday morning,Bullish,pos,0.5548973055056649,0.4451026944943357
Prediction Not signing Kevin Durant doesnt prevent UA signing huge NBA star longterm sponsorship sneaker deal,Bullish,neg,0.23156211909894348,0.7684378809010541
NQ Let buyback begin How buy less When its,Bullish,pos,0.5885741799867741,0.41142582001322564
ZGNX Make Break year guys would like see dip add shares Got faith,Bullish,neg,0.17464866425981862,0.8253513357401797
UGAZ natty saleand im gonna keep buying,Bullish,pos,0.7850177304964537,0.2149822695035464
MNKD Been bear long however seems like its time buy pt Good luck happy new year,Bullish,pos,0.723460777917958,0.2765392220820419
RXII Happy new year all,Bullish,pos,0.6334748078980624,0.36652519210193785
Investment Themes I continue like quickserve restaurants lower gas confident consumer huge tailwind PNRA BWLD CMG,Bullish,pos,0.9766243383025649,0.023375661697437978
SBUX,Bullish,pos,0.5,0.5
Investment Themes Be selective exposure oilampgas sector BP SLB COP RDSA KMI OXY,Bullish,neg,0.24721217386350794,0.7527878261364941
BABA go green Monday easily,Bullish,neg,0.3140195768866435,0.6859804231133555
CVEO This going POP Friday,Bullish,neg,0.47971986099209046,0.5202801390079101
RXII better show company updates like Retinoblastoma mac degeneration along new scar data,Bullish,neg,0.03424387645655753,0.9657561235434443
KKR httpstkscosDYu Big pay Walgreen,Bullish,neg,0.403799227275808,0.596200772724192
Please dont exposed long positions going January Unless truly LT wont spooked selling SPY qqq IWM,Bearish,neg,0.03461406292453228,0.9653859370754717
Investment Themes The american consumer confident AAPL V PAY MA AXP UA M TJXC PVH GIII DIS,Bullish,pos,0.9327734359996157,0.06722656400038614
thrfty OleJoeClark FrothDog quite bit PLUG hits high pps I happy man complaints,Bullish,pos,0.9837356380949044,0.01626436190509464
EYES Implant retina size grain salt explode like payperclicks No Trek Mt Everest peak day Ahh No,Bullish,neg,0.24308314522856095,0.7569168547714347
UGAZ DGAZ Happy New Year NG traders httpstkscogVo,Bullish,pos,0.9230363149683712,0.07696368503162873
quotAlwaysNeedHelp TWTR Anyone else see bought GOOG YHOO quot,Bullish,neg,0.2937645481480878,0.7062354518519112
RELION energy PLUG power company partners hoppecketoday largest manufacturer industrial batteries world,Bullish,pos,0.7345193842183154,0.2654806157816833
AAPL TSLA GILD CELG BABA SCTY RIG WFM BA HAPPY NEW YEAR ALL BULLS BEARS,Bullish,pos,0.8092423352334455,0.19075766476655373
UGAZ Get This isnt controlled govt Its strictly OVER PRODUCTION Weather means nothing NG going,Bearish,neg,0.23026749789154982,0.769732502108452
ACHN nicely AH looking breakout next week,Bullish,pos,0.5737012955932268,0.42629870440677375
crme long grenade news blows Should matter time blast Base proper Like Titos n diet ICETEA,Bullish,pos,0.5326965452604354,0.4673034547395621
CVEO def going Friday Our prediction software alerted users correctly similar stock BCLI today httpstkscoeRGf,Bullish,neg,0.013804539045602636,0.9861954609543983
AAPL To military service members overseas may new year bring home safe loved ones Go AAPL,Bullish,pos,0.8183605246072498,0.18163947539275263
ZNGA Happy New Years strong zynga longs May year green,Bullish,pos,0.9005094337774376,0.09949056622256144
FSLR Shorting going long SCTY Going momentum strength,Bearish,pos,0.6383291726429131,0.36167082735708683
LGF Bought hope mistake GLL,Bullish,pos,0.5715350223546939,0.4284649776453056
ZNGA When last time saw two zynga games top free games chart Pretty Damn long httpstkscosDZ,Bullish,neg,0.36100934733534423,0.638990652664658
CSIQ This I talking folks httpstkscojVX,Bullish,neg,0.36348631813914967,0.6365136818608507
SLB Closed bought puts Close confirms DT amp needs happen next days Im wrong amp close position,Bearish,pos,0.513406442397394,0.48659355760260464
GLD Happy new year degenerate compulsive gambler friends May gold shine FML,Bullish,pos,0.82658377776501,0.17341622223499087
FEYE everyone looking invest cyber security Avoid crowd stay short year retail cheap gas,Bearish,neg,0.059643311321379226,0.9403566886786185
JBLU insider selling big deal Right new year Tax move imo,Bullish,neg,0.20505633155763459,0.7949436684423644
AAPL Happy New Year Bulls That acct everyone since I know Bears really cheap Bulls,Bullish,pos,0.7627796970004912,0.2372203029995074
VA Happy New Year VA show us s,Bullish,pos,0.62445664518788,0.3755433548121205
Freakin Bears always tryin pick fresh set aapl shares less grand,Bullish,pos,0.559200055858748,0.44079994414125107
COOL time go,Bearish,neg,0.4619942385753566,0.5380057614246432
VHC Will rock HNY long timers,Bullish,pos,0.7562259718868481,0.24377402811315205
CSIQ pick bldg Ontario httpstkscodRs,Bullish,neg,0.4325842696629213,0.5674157303370787
CVEO Anyone wants slap friday I triple dog dare,Bullish,neg,0.3512031897646067,0.6487968102353953
quotSanvisor AAPL To military service members overseas may new year bring home safe loved ones Go AAPLquot,Bullish,pos,0.8183605246072457,0.18163947539275263
AAPL year TIm Cooks empire fall sorry TC cannot innovate need new CEO Apple,Bearish,neg,0.18491960272674252,0.8150803972732586
UVXY days,Bearish,pos,0.5239043824701194,0.47609561752988055
RNN happy new year RNN future winners,Bullish,pos,0.8257934608506928,0.17420653914930712
SPY Bears showing coal like its diamondswrong diamndsThnxnuthin Santa I bearish momentsBUT SPY Kicked A Period,Bullish,pos,0.9634166403003587,0.03658335969964071
IBIO HNY,Bullish,pos,0.5,0.5
UGAZ Global glut Lng projects cancel United States Technology awesome They even trigger earthquakes Lol,Bearish,pos,0.9758366554863913,0.02416334451360587
SPY shhhhh dont tell anyone late janfeb dropgapsamprip ups comingSanta got GoPro crystal Ballit seize fUcher,Bullish,neg,0.015940030975001476,0.9840599690249966
KNDI I find interesting CNBC interview right gets going,Bullish,pos,0.7601601110438114,0.23983988895618816
UGAZ Obama administration even approving oil exports Thats good extracting oil ngsurplus huge Buy dgaz,Bearish,neg,0.008224448235996554,0.9917755517640054
RSH AAPL Apple buy Radioshack start pushing entire line products,Bullish,neg,0.4961205543831757,0.5038794456168234
UGAZ last year easy figure Just track weather easy play Now even weather helps,Bearish,neg,0.48235128054344567,0.5176487194565548
SLCA EMES HCLP quotDemand For Frac Sand Still Strong Despite Drop In Oil Prices Producers Sayquot httpstkscoeRGx,Bullish,pos,0.6244172134619954,0.37558278653800675
IBIO Theyll eat garbage rest days Could even take A pathetic bunch looser like Shicitzo,Bullish,neg,0.04745066570614013,0.95254933429386
DividendTwit SDTrader BP I big guy Dollar cost averaging loving life When oil rebounds laughing,Bullish,neg,0.4107443877353774,0.5892556122646214
UGAZ Bears still,Bullish,pos,0.5410183875530411,0.45898161244695895
BABA last perspective year Currently consolidating Maintaining LT bullish stance BABAZILLA BTMFD httpstkscotDqT,Bullish,pos,0.9587483149618463,0.0412516850381537
ARIA Happy New Year longs shorts Wishing better,Bullish,pos,0.841712732973244,0.15828726702675613
EOX Im gonna touch stock around Late Jan Feb,Bearish,pos,0.7347822291078209,0.26521777089217835
TWTR Gotta better Still profitable near,Bullish,pos,0.6317233969006368,0.3682766030993626
