tweet,stated_sentiment,blob_polarity,blob_subjectivity
CVEO Extremely bearish one,Bearish,-0.125,1.0
FB The Gordon Ghetto Show Rolls Card Stay tuned Gordon Gekko Bounce Instagram M plus Oculus China Exp,Bullish,0.0,0.0
CUR BCLI looking like juicy buy going Monday,Bullish,0.0,0.0
UGAZ httpstkscodRC,Bullish,0.0,0.0
TWTR Happy New Years all,Bullish,0.4681818181818182,0.7272727272727273
VSLR This company growing fast Jumped ENPH gobbled baby Sit buy dips yah know it,Bullish,0.2,0.6
Its time year Top Picks WEFca PHMca amp DAPuca,Bullish,0.5,0.5
FB ER beat good guidance earnings beat bad guidance,Bullish,5.551115123125783e-17,0.6333333333333333
GPRE Anyone catch K Mar C block trade M value,Bullish,0.0,0.0
Top picks pretty good last year WEFca CPHca amp AYAca Lets hope years batch well,Bullish,0.3625,0.5416666666666667
UGAZ Reversal isnt even close yet Ill let know,Bearish,-0.5,1.0
WHZ Hoping stays low I put IRA come,Bullish,0.0,0.3
CNBC Top trades FastMoney TIF AAPL TGT TWTR BIDU WYNN IBM EOG APC httpstkscoaR httpstkscojVy,Bullish,0.5,0.5
FB Inflection point breached Still uptrend We Ghetto Trade show Stay tuned Gekko Trade show mil sell,Bullish,0.0,0.0
UGAZ If think going week idiot,Bearish,-0.8,0.8
UGAZ Still longs way go reversal,Bearish,0.0,0.0
FB million volume today heavy selling held level Gekko Trade show going Bounce next week,Bullish,-0.1,0.25
AAPL ARWR TSLA BABA Wish everyone happy new year keep counting fast money,Bullish,0.37878787878787884,0.6848484848484849
PAL Have A Happy Healthy Wealthy Green New Year including TAR,Bullish,0.3472727272727273,0.6509090909090909
Dear STWIT Dream big See real Stick Finding next httpstkscobRu Happy,Bullish,0.25,0.35
UGAZ Should open ,Bearish,0.0,0.5
AAPL Met hedge fund manager DC today playing ball said AAPL favorite opportunity He liked options play,Bullish,0.55,0.9
FB Inside days happen retraction happens sadly bears oversold hand bears gun Watch hard boun,Bullish,-0.39583333333333337,0.7708333333333333
GLUU Can ever bad market day Everyone doesnt need freak goes day lot stocks,Bullish,-0.6999999999999998,0.6666666666666666
GRPN Happy trails Im good sides fence THAT investortrader fence,Bullish,0.75,0.8
FB Instagram million growing Expansion China NFL AD Rev FB Search So what REVENUE Generation thats,Bullish,0.0,0.0
Top searched stocks AAPL FB BABA TSLA BAC GOOG INTC GE TWTR AMZN httpstkscobRy httpstkscocRAV,Bullish,0.5,0.5
SPY DIA COMPQ best luck traders,Bullish,1.0,0.3
UWTI In Gas Station Spring drink water G gasoline G,Bullish,0.0,0.0
stephanjk The USDX UUP price targets Youre spewing typical gold bug nonsense httpstkscoeRGD,Bullish,-0.16666666666666666,0.5
ZNGA BCLI release phase Monday Jan It blow ya face upside potential one day,Bullish,0.0,1.0
SPY IWM QQQ New Years resolution follow Winners STshad decent yearbut could much betterHappy NY,Bullish,0.16767676767676765,0.44040404040404035
UVXY Buy puts,Bearish,0.0,0.0
quotWallStJesus IWM btw snuck bell looks like buyer Feb puts quotThey burned k,Bullish,0.0,0.0
article July quot AirWatch recently teamed Sonyquot httpstkscojV I bet wish would chosen bbry,Bullish,0.0,0.25
IBIO amp MNGA close penny other What going on,Bullish,-0.125,0.375
VIPS Property overhanging In China benefit money flow stocks according David fast money,Bullish,0.2,0.6
WarEagleStox War Eagle Youd think us Auburn engineers would smarter invest crappy stocks like NQ,Bullish,0.0,0.0
Take BULL horns let RIDE Happy New Year TimesSquare SBUX PCLN SPY httpstkscotDpy httpstkscotDpz,Bullish,0.4681818181818182,0.7272727272727273
AAPL happy new year fellow longs January make us happy And February plain silly Cheers folks,Bullish,0.20441558441558444,0.7373376623376624
Swing Buy Picks AMAT CME ELX KMX LNKD NOC ORCL PAY PNC POTCA RMD httpstkscojVD,Bullish,0.0,0.0
Swing Sell Picks FMCA PCA REN httpstkscogVZ,Bearish,0.0,0.0
WFM holding Jan putsOI around k,Bearish,0.0,0.0
THM Feel good picked couple thousand shares day,Bullish,0.7,0.6000000000000001
CVEO This going crash Friday,Bearish,0.0,0.0
KNDI The reason KNDI big China Happy New Year httpstkscodRZ,Bullish,0.31212121212121213,0.5181818181818182
UGAZ Look lead storyhttpstkscoeRGL,Bullish,0.0,0.0
ARWR INO IDRA One stocks gain least x Your bet Best luck happy new year everyone,Bullish,0.40909090909090906,0.5386363636363636
StupidGains Hephaestus How think Jefferson marches likes born people clamor GLUU sale happen,Bullish,0.0,0.0
USDJPY BEARISH NAT PATTERNQ httpstkscoeRGQ httpstkscobRAA,Bearish,0.0,0.0
AAPL So everyone ur money ready Friday BTFD LOAD UPPP,Bullish,0.2,0.5
PLUG analyst ratings last days Median target upside View here httpstkscobRAB,Bullish,0.0,0.06666666666666667
quotEuphoria RSH headed home new robot trunk RadioShack quot Stay robot amp forget pain RSH rest life,Bearish,0.13636363636363635,0.45454545454545453
Gbones Ur Great Trader amp solidify it UGAZ Timeframe powder flexible Well bank hard Bones,Bullish,0.25416666666666665,0.6458333333333333
GCF GLD GDX GDXJ In opinion gold sitting long lower support A move imminent httpstkscofVBH,Bearish,-0.05,0.4
IBIO ANV LAKE APT Happy New Year May bring love peace joy enormous brokerage account,Bullish,0.47272727272727266,0.6924242424242425
BBEP LF CVEO FSLR SAFM EW CAMP COH KORS AMBA AVAV PACB Happy investing happy new year lets welcome new year gains,Bullish,0.5345454545454544,0.7618181818181818
IMRS httpstkscoeRGY \xe2\x80\xa6will give newbies information company\xe2\x80\xa6good interview CEOwatch u time,Bullish,0.0,0.0
Prediction After yr s SBUX next stock following execution new initiatives Dont bet Schultz,Bullish,0.04545454545454545,0.18484848484848485
EGRX MGNX FMI SGEN ARRY want em,Bullish,0.0,0.0
BBRY Team Canadann,Bullish,0.0,0.0
AAPL Just dropped phone fire Damn still works screen little messed,Bullish,-0.1875,0.5
