CVEO Extremely bearish one,Bearish
FB The Gordon Ghetto Show Rolls Card Stay tuned Gordon Gekko Bounce Instagram M plus Oculus China Exp,Bullish
CUR BCLI looking like juicy buy going Monday,Bullish
UGAZ httpstkscodRC,Bullish
TWTR Happy New Years all,Bullish
VSLR This company growing fast Jumped ENPH gobbled baby Sit buy dips yah know it,Bullish
Its time year Top Picks WEFca PHMca amp DAPuca,Bullish
FB ER beat good guidance earnings beat bad guidance,Bullish
GPRE Anyone catch K Mar C block trade M value,Bullish
Top picks pretty good last year WEFca CPHca amp AYAca Lets hope years batch well,Bullish
UGAZ Reversal isnt even close yet Ill let know,Bearish
WHZ Hoping stays low I put IRA come,Bullish
CNBC Top trades FastMoney TIF AAPL TGT TWTR BIDU WYNN IBM EOG APC httpstkscoaR httpstkscojVy,Bullish
FB Inflection point breached Still uptrend We Ghetto Trade show Stay tuned Gekko Trade show mil sell,Bullish
UGAZ If think going week idiot,Bearish
UGAZ Still longs way go reversal,Bearish
FB million volume today heavy selling held level Gekko Trade show going Bounce next week,Bullish
AAPL ARWR TSLA BABA Wish everyone happy new year keep counting fast money,Bullish
PAL Have A Happy Healthy Wealthy Green New Year including TAR,Bullish
Dear STWIT Dream big See real Stick Finding next httpstkscobRu Happy,Bullish
UGAZ Should open ,Bearish
AAPL Met hedge fund manager DC today playing ball said AAPL favorite opportunity He liked options play,Bullish
FB Inside days happen retraction happens sadly bears oversold hand bears gun Watch hard boun,Bullish
GLUU Can ever bad market day Everyone doesnt need freak goes day lot stocks,Bullish
GRPN Happy trails Im good sides fence THAT investortrader fence,Bullish
FB Instagram million growing Expansion China NFL AD Rev FB Search So what REVENUE Generation thats,Bullish
Top searched stocks AAPL FB BABA TSLA BAC GOOG INTC GE TWTR AMZN httpstkscobRy httpstkscocRAV,Bullish
SPY DIA COMPQ best luck traders,Bullish
UWTI In Gas Station Spring drink water G gasoline G,Bullish
stephanjk The USDX UUP price targets Youre spewing typical gold bug nonsense httpstkscoeRGD,Bullish
ZNGA BCLI release phase Monday Jan It blow ya face upside potential one day,Bullish
SPY IWM QQQ New Years resolution follow Winners STshad decent yearbut could much betterHappy NY,Bullish
UVXY Buy puts,Bearish
quotWallStJesus IWM btw snuck bell looks like buyer Feb puts quotThey burned k,Bullish
article July quot AirWatch recently teamed Sonyquot httpstkscojV I bet wish would chosen bbry,Bullish
IBIO amp MNGA close penny other What going on,Bullish
VIPS Property overhanging In China benefit money flow stocks according David fast money,Bullish
WarEagleStox War Eagle Youd think us Auburn engineers would smarter invest crappy stocks like NQ,Bullish
Take BULL horns let RIDE Happy New Year TimesSquare SBUX PCLN SPY httpstkscotDpy httpstkscotDpz,Bullish
AAPL happy new year fellow longs January make us happy And February plain silly Cheers folks,Bullish
Swing Buy Picks AMAT CME ELX KMX LNKD NOC ORCL PAY PNC POTCA RMD httpstkscojVD,Bullish
Swing Sell Picks FMCA PCA REN httpstkscogVZ,Bearish
WFM holding Jan putsOI around k,Bearish
THM Feel good picked couple thousand shares day,Bullish
CVEO This going crash Friday,Bearish
