tweet,stated_sentiment,vader_analysis_compound,vader_analysis_neg,vader_analysis_neu,vader_analysis_pos
CVEO Extremely bearish one,Bearish,0.0,0.0,1.0,0.0
FB The Gordon Ghetto Show Rolls Card Stay tuned Gordon Gekko Bounce Instagram M plus Oculus China Exp,Bullish,0.0,0.0,1.0,0.0
CUR BCLI looking like juicy buy going Monday,Bullish,0.3612,0.0,0.737,0.263
UGAZ httpstkscodRC,Bullish,0.0,0.0,1.0,0.0
TWTR Happy New Years all,Bullish,0.5719,0.0,0.519,0.481
VSLR This company growing fast Jumped ENPH gobbled baby Sit buy dips yah know it,Bullish,0.1779,0.0,0.892,0.108
Its time year Top Picks WEFca PHMca amp DAPuca,Bullish,0.2023,0.0,0.816,0.184
FB ER beat good guidance earnings beat bad guidance,Bullish,-0.1531,0.261,0.522,0.216
GPRE Anyone catch K Mar C block trade M value,Bullish,-0.128,0.282,0.485,0.233
Top picks pretty good last year WEFca CPHca amp AYAca Lets hope years batch well,Bullish,0.8979,0.0,0.437,0.563
UGAZ Reversal isnt even close yet Ill let know,Bearish,-0.4215,0.259,0.741,0.0
WHZ Hoping stays low I put IRA come,Bullish,0.1779,0.212,0.505,0.283
CNBC Top trades FastMoney TIF AAPL TGT TWTR BIDU WYNN IBM EOG APC httpstkscoaR httpstkscojVy,Bullish,0.2023,0.0,0.886,0.114
FB Inflection point breached Still uptrend We Ghetto Trade show Stay tuned Gekko Trade show mil sell,Bullish,0.0,0.0,1.0,0.0
UGAZ If think going week idiot,Bearish,-0.5106,0.398,0.602,0.0
UGAZ Still longs way go reversal,Bearish,0.0,0.0,1.0,0.0
FB million volume today heavy selling held level Gekko Trade show going Bounce next week,Bullish,0.0,0.0,1.0,0.0
AAPL ARWR TSLA BABA Wish everyone happy new year keep counting fast money,Bullish,0.7506,0.0,0.632,0.368
PAL Have A Happy Healthy Wealthy Green New Year including TAR,Bullish,0.836,0.0,0.44,0.56
Dear STWIT Dream big See real Stick Finding next httpstkscobRu Happy,Bullish,0.8074,0.0,0.491,0.509
UGAZ Should open ,Bearish,0.0,0.0,1.0,0.0
AAPL Met hedge fund manager DC today playing ball said AAPL favorite opportunity He liked options play,Bullish,0.8957,0.0,0.484,0.516
FB Inside days happen retraction happens sadly bears oversold hand bears gun Watch hard boun,Bullish,-0.34,0.317,0.529,0.154
GLUU Can ever bad market day Everyone doesnt need freak goes day lot stocks,Bullish,-0.2718,0.195,0.67,0.134
GRPN Happy trails Im good sides fence THAT investortrader fence,Bullish,0.765,0.0,0.548,0.452
FB Instagram million growing Expansion China NFL AD Rev FB Search So what REVENUE Generation thats,Bullish,0.1779,0.0,0.898,0.102
Top searched stocks AAPL FB BABA TSLA BAC GOOG INTC GE TWTR AMZN httpstkscobRy httpstkscocRAV,Bullish,0.2023,0.0,0.886,0.114
SPY DIA COMPQ best luck traders,Bullish,0.802,0.0,0.357,0.643
UWTI In Gas Station Spring drink water G gasoline G,Bullish,0.0,0.0,1.0,0.0
stephanjk The USDX UUP price targets Youre spewing typical gold bug nonsense httpstkscoeRGD,Bullish,-0.4019,0.184,0.816,0.0
ZNGA BCLI release phase Monday Jan It blow ya face upside potential one day,Bullish,0.0,0.0,1.0,0.0
SPY IWM QQQ New Years resolution follow Winners STshad decent yearbut could much betterHappy NY,Bullish,0.4767,0.0,0.819,0.181
UVXY Buy puts,Bearish,0.0,0.0,1.0,0.0
quotWallStJesus IWM btw snuck bell looks like buyer Feb puts quotThey burned k,Bullish,0.3612,0.0,0.815,0.185
article July quot AirWatch recently teamed Sonyquot httpstkscojV I bet wish would chosen bbry,Bullish,0.4019,0.0,0.816,0.184
IBIO amp MNGA close penny other What going on,Bullish,0.0,0.0,1.0,0.0
VIPS Property overhanging In China benefit money flow stocks according David fast money,Bullish,0.4588,0.0,0.8,0.2
WarEagleStox War Eagle Youd think us Auburn engineers would smarter invest crappy stocks like NQ,Bullish,-0.4588,0.312,0.458,0.229
Take BULL horns let RIDE Happy New Year TimesSquare SBUX PCLN SPY httpstkscotDpy httpstkscotDpz,Bullish,0.5719,0.0,0.778,0.222
AAPL happy new year fellow longs January make us happy And February plain silly Cheers folks,Bullish,0.891,0.0,0.508,0.492
